排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
263,6488,環球晶,788,+38,+5.07,05/14,+0.18,+0.16,+0.1,+0.81,+3.09,+5.52,+7.02,+4.52,+10.2,-6.25,-11.2,+5.8
264,3059,華晶科,39.9,+1,+2.57,05/14,+0.18,+0.19,+0.15,+0.49,+0.79,-0.27,+0.71,-5.89,-2.05,-1.94,-8.46,-5.33
265,6182,合晶,57.4,+2.1,+3.8,05/14,+0.18,+0.45,+0.78,-0.11,+4.15,+5.69,+6.42,+7.63,+2.4,+2.31,+4.55,+6.93
266,8081,致新,261,+4.5,+1.75,05/14,+0.18,-0.14,-0.34,-0.16,-0.02,-0.86,-1.04,-3.68,-1.45,-0.43,-2.14,+1.21
267,3372,典範,19.35,+0.5,+2.65,05/14,+0.18,+0.2,+0.18,+0.18,+0.52,+0.76,+0.43,+0.06,+1.16,+0.97,+0.4,+0.72
268,5309,系統電,64.8,+0.9,+1.41,05/14,+0.18,+0.11,-0.74,+0.13,+1,+0.68,-1.42,-1.43,-3.36,-4.42,-4.19,-4.74
269,5243,乙盛-KY,101,-2,-1.94,05/14,+0.18,+0.01,+0.27,-0.44,-1.11,-5.5,-0.29,-1.74,+4.8,+3.77,-9.77,+0.11
270,3689,湧德,123,+1,+0.82,05/14,+0.17,+0.22,+0.25,-0.53,-7.62,-7.59,-2.59,+0.99,-13.5,-4.06,-6.75,-5.98
271,2436,偉詮電,71.4,-1.4,-1.92,05/14,+0.17,-0.82,-2.25,-1.52,-0.95,-6.21,-1.06,-0.45,-1.94,-1.19,-0.12,+1.73
272,6173,信昌電,172,+13,+8.18,05/14,+0.17,+0.58,+0.98,+6.32,+7.71,+12.5,+12.8,+15.9,+13.6,+14.5,+14.6,+15.6
273,00913,兆豐台灣晶圓製造,45.03,+0.96,+2.18,05/14,+0.17,+0.31,-3.14,-5.99,-7.91,-5.87,+11,+10.2,+10.1,+16.4,,+10.7
274,00959B,大華投等美債15Y+,9.34,+0.01,+0.11,05/14,+0.17,+0.4,+0.53,+0.81,+1.33,+2.43,+5.74,+12.9,+37.1,,,+10.5
275,2103,台橡,22,+0.4,+1.85,05/14,+0.17,+0.14,+0.35,+0.98,+1.04,+0.86,-1.33,-1.13,-3.79,-5.8,-7.91,+0.65
276,6442,光聖,1855,+50,+2.77,05/14,+0.17,+0.74,-0.09,-0.51,-0.18,+2.39,-1.03,+1.29,-1.17,+5.96,+6.29,+2.5
277,2397,友通,61,+2.2,+3.74,05/14,+0.17,+0.18,+0.28,+0.3,+0.64,+0.49,+0.6,+0.69,-2.58,+0.34,-1.02,+0.84
278,6909,創控,52.4,-2.3,-4.2,05/14,+0.17,-0.13,+0.02,-0.18,-0.76,-0.92,-0.7,-0.53,,,,-0.75
279,2376,技嘉,327,+13.5,+4.31,05/14,+0.16,+0.55,+1.02,+1.83,+3.16,+6.57,+11.1,+3.45,+8.73,-5.91,-11.5,+7.36
280,6192,巨路,133.5,+5,+3.89,05/14,+0.16,+0.12,+0.34,+1.09,+1.4,+1.06,+1.37,+5.14,+5.16,+6.16,+10.2,+3.85
281,2069,運錩,20,0,0,05/14,+0.16,+0.24,+0.19,+0.41,+0.39,+0.72,+0.75,+0.86,-0.5,+1.17,+1.84,+0.94
282,009804,聯邦台精彩50,21.07,+0.02,+0.1,05/14,+0.16,+0.02,+0.08,-0.13,+1.07,+4.71,+4.02,+5.22,+13.8,,,+4.75
283,7704,明遠精密,68.8,+6.2,+9.9,05/14,+0.16,+0.14,+0.25,+0.3,+0.51,+0.7,+0.45,+0.51,+0.4,,,+0.5
284,3362,先進光,111.5,+10,+9.85,05/14,+0.16,-0.02,-0.11,+0.05,-0.01,+0.38,+0.93,-0.33,-1.35,-0.58,+1.9,-0.66
285,00990A,主動元大AI新經濟,18.28,+0.22,+1.22,05/14,+0.16,+0.11,-0.19,-0.02,-0.96,-1.38,+0.42,,,,,+5.02
286,7823,奧義賽博-KY創,98.5,+8.3,+9.2,05/14,+0.16,+0.16,+0.15,+0.15,+0.07,+0.17,-0.39,,,,,
287,4763,材料*-KY,42.25,+0.9,+2.18,05/14,+0.16,-0.14,-0.08,-0.05,-0.67,+0.52,+0.71,-2.36,-9.83,-10.5,-10,-0.6
288,8213,志超,38.55,-0.15,-0.39,05/14,+0.16,-0.28,-0.38,+0.65,+0.89,+2.37,+3.39,+1.75,+2.44,+2.36,+2.14,+3.33
289,2328,廣宇,51.8,+0.3,+0.58,05/14,+0.16,-0.04,-0.1,+0.31,-0.61,-0.53,+0.09,+0.34,-11.9,-6.15,-9.06,+0.95
290,3031,佰鴻,30,+0.7,+2.39,05/14,+0.16,+0.18,+0.39,+0.88,+1.42,-0.38,-1.33,-0.81,-0.97,-0.55,-4.94,-0.57
291,6188,廣明,83.1,+0.1,+0.12,05/14,+0.16,+0.03,+0.2,+0.41,+0.56,+0.56,+1.65,-4.97,-4.75,-9.65,-1.24,-1.67
292,8299,群聯,2880,+260,+9.92,05/14,+0.16,+0.19,-0.83,-0.39,-0.27,-1.01,-4.44,-0.36,-1.26,-1.96,-4.3,-5.25
293,0052,富邦科技,56.6,+0.45,+0.8,05/14,+0.16,+0.14,+0.14,-0.13,+0.62,-0.46,-0.05,-2.01,-1.8,-1.88,-1.79,-1.5
294,3630,新鉅科,25.15,-0.5,-1.95,05/14,+0.16,+0.13,+0.23,+0.09,-0.13,-0.54,-0.37,-2.06,-0.28,-4.22,-1.09,-1.32
295,2603,長榮,211.5,+1.5,+0.71,05/14,+0.15,+0.14,+0.18,+0.35,+1.36,+1.17,+4.84,+4.68,-0.61,+1.07,-3.38,+5.67
296,4974,亞泰,74.1,+0.4,+0.54,05/14,+0.15,+0.14,+0.12,+0.26,+0.45,+0.33,+0.38,-0.51,-5.04,-6.95,+1.24,-0.91
297,2484,希華,38.3,+0.4,+1.06,05/14,+0.15,-0.62,-0.13,-2.84,-3.13,-2.86,-0.89,-3.62,-3.56,+0.11,-2.61,-3.46
298,4540,全球傳動,64.5,-1,-1.53,05/14,+0.15,+0.15,+0.98,-1.54,-1.67,+2.92,+8.13,+6.72,+5.92,+6.45,,+6.67
299,4195,基米-創,19.8,-0.45,-2.22,05/14,+0.15,+0.17,+0.16,,,,,,,,,
300,2520,冠德,31.15,+0.5,+1.63,05/14,+0.15,+0.22,+0.24,+0.36,+0.37,-0.08,+0.08,+6.06,-8.99,-4.12,-0.83,-0.06
